chart,version,base,result,semantic_parity,reason,related_lifecycle_evidence,meaning,receipt
open-telemetry/opentelemetry-operator,0.114.0,no-crds,pass,pass,,,live parity passed,runs/live-kind-parity/open-telemetry-opentelemetry-operator-no-crds/receipt.yaml
percona/pg-operator,3.0.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/percona-pg-operator-default/receipt.yaml
percona/psmdb-operator,1.22.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/percona-psmdb-operator-default/receipt.yaml
percona/pxc-operator,1.19.1,default,pass,pass,,,live parity passed,runs/live-kind-parity/percona-pxc-operator-default/receipt.yaml
prometheus-community/alertmanager,1.37.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/prometheus-community-alertmanager-default/receipt.yaml
prometheus-community/kube-prometheus-stack,85.3.3,default,pass,pass,,,live parity passed,runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml
prometheus-community/kube-prometheus-stack,85.3.3,no-crds,pass,pass,,,live parity passed,runs/live-kind-parity/prometheus-community-kube-prometheus-stack-no-crds/receipt.yaml
prometheus-community/kube-state-metrics,7.4.0,cluster-metrics-readonly,pass,pass,,,live parity passed,runs/live-kind-parity/prometheus-community-kube-state-metrics-cluster-metrics-readonly/receipt.yaml
prometheus-community/prometheus-blackbox-exporter,11.10.0,cluster-metrics-readonly,pass,pass,,,live parity passed,runs/live-kind-parity/prometheus-community-prometheus-blackbox-exporter-cluster-metrics-readonly/receipt.yaml
prometheus-community/prometheus-node-exporter,4.55.0,cluster-metrics-readonly,pass,pass,,,live parity passed,runs/live-kind-parity/prometheus-community-prometheus-node-exporter-cluster-metrics-readonly/receipt.yaml
prometheus-community/prometheus,29.8.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/prometheus-community-prometheus-default/receipt.yaml
prometheus-community/prometheus,29.8.0,server-only-ephemeral,pass,pass,,,live parity passed,runs/live-kind-parity/prometheus-community-prometheus-server-only-ephemeral/receipt.yaml
sealed-secrets/sealed-secrets,2.18.6,default,pass,pass,,,live parity passed,runs/live-kind-parity/sealed-secrets-sealed-secrets-default/receipt.yaml
sealed-secrets/sealed-secrets,2.18.6,no-crds,pass,pass,,,live parity passed,runs/live-kind-parity/sealed-secrets-sealed-secrets-no-crds/receipt.yaml
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/secrets-store-csi-driver-secrets-store-csi-driver-default/receipt.yaml
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,sync-secret-rotation,pass,pass,,,live parity passed,runs/live-kind-parity/secrets-store-csi-driver-secrets-store-csi-driver-sync-secret-rotation/receipt.yaml
strimzi/strimzi-kafka-operator,1.0.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/strimzi-strimzi-kafka-operator-default/receipt.yaml
