chart,supported,score,render_equivalent,behaviorally_complete,readable,usable,verifiable,honestly_scoped,variant_complete,variant_count,support_status,production_readiness,missing_criteria,recipe_path
bitnami/zookeeper@13.8.7,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,proof-grade,not-reviewed-for-production,none,recipes/bitnami/zookeeper/13.8.7
cloudnative-pg/cloudnative-pg@0.28.2,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/cloudnative-pg/cloudnative-pg/0.28.2
coredns/coredns@1.45.2,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/coredns/coredns/1.45.2
crossplane-stable/crossplane@2.3.1,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/crossplane-stable/crossplane/2.3.1
descheduler/descheduler@0.36.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/descheduler/descheduler/0.36.0
dex/dex@0.24.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/dex/dex/0.24.0
elastic/eck-operator@3.4.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,proof-grade,not-reviewed-for-production,none,recipes/elastic/eck-operator/3.4.0
elastic/filebeat@8.5.1,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/elastic/filebeat/8.5.1
elastic/kibana@8.5.1,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/elastic/kibana/8.5.1
elastic/logstash@8.5.1,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/elastic/logstash/8.5.1
elastic/metricbeat@8.5.1,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/elastic/metricbeat/8.5.1
external-dns/external-dns@1.21.1,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,proof-grade,not-reviewed-for-production,none,recipes/external-dns/external-dns/1.21.1
external-secrets/external-secrets@2.5.0,no,5/6,yes,no,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,behaviorally_complete,recipes/external-secrets/external-secrets/2.5.0
external-secrets/external-secrets@2.7.0,no,5/6,yes,no,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,behaviorally_complete,recipes/external-secrets/external-secrets/2.7.0
external-secrets/external-secrets@2.8.0,no,5/6,yes,no,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,behaviorally_complete,recipes/external-secrets/external-secrets/2.8.0
fairwinds-stable/goldilocks@10.3.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/fairwinds-stable/goldilocks/10.3.0
fairwinds-stable/vpa@4.11.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/fairwinds-stable/vpa/4.11.0
falcosecurity/falco@9.0.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/falcosecurity/falco/9.0.0
falcosecurity/falcosidekick@0.13.1,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/falcosecurity/falcosidekick/0.13.1
fluent/fluent-bit@0.57.6,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/fluent/fluent-bit/0.57.6
fluent/fluentd@0.5.3,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/fluent/fluentd/0.5.3
gatekeeper/gatekeeper@3.22.2,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/gatekeeper/gatekeeper/3.22.2
gitlab/gitlab-runner@0.89.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/gitlab/gitlab-runner/0.89.0
grafana/alloy@1.11.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/grafana/alloy/1.11.0
grafana/alloy@1.8.2,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/grafana/alloy/1.8.2
grafana/grafana@10.5.15,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/grafana/grafana/10.5.15
grafana/loki@7.0.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/grafana/loki/7.0.0
grafana/loki@7.1.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/grafana/loki/7.1.0
grafana/promtail@6.17.1,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/grafana/promtail/6.17.1
grafana/pyroscope@2.0.2,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,proof-grade,not-reviewed-for-production,none,recipes/grafana/pyroscope/2.0.2
grafana/rollout-operator@0.49.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/grafana/rollout-operator/0.49.0
grafana/tempo@1.24.4,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/grafana/tempo/1.24.4
haproxytech/kubernetes-ingress@1.52.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/haproxytech/kubernetes-ingress/1.52.0
hashicorp/consul@2.0.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/hashicorp/consul/2.0.0
hashicorp/terraform@1.1.2,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/hashicorp/terraform/1.1.2
hashicorp/vault@0.32.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,catalog-supported,production-review-ready,none,recipes/hashicorp/vault/0.32.0
ingress-nginx/ingress-nginx@4.15.1,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,catalog-supported,production-review-ready,none,recipes/ingress-nginx/ingress-nginx/4.15.1
istio/gateway@1.30.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/istio/gateway/1.30.0
istio/istiod@1.30.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/istio/istiod/1.30.0
jaegertracing/jaeger-operator@2.57.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/jaegertracing/jaeger-operator/2.57.0
jaegertracing/jaeger@4.8.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/jaegertracing/jaeger/4.8.0
jetstack/cert-manager-csi-driver@v0.14.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/jetstack/cert-manager-csi-driver/v0.14.0
jetstack/cert-manager@v1.20.2,no,5/6,yes,no,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,behaviorally_complete,recipes/jetstack/cert-manager/v1.20.2
jetstack/cert-manager@v1.21.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/jetstack/cert-manager/v1.21.0
jetstack/trust-manager@v0.22.1,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/jetstack/trust-manager/v0.22.1
kedacore/keda@2.19.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/kedacore/keda/2.19.0
kyverno/kyverno-policies@3.8.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/kyverno/kyverno-policies/3.8.0
kyverno/kyverno-policies@3.8.2,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/kyverno/kyverno-policies/3.8.2
kyverno/kyverno@3.8.1,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/kyverno/kyverno/3.8.1
kyverno/kyverno@3.8.2,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/kyverno/kyverno/3.8.2
linkerd/linkerd-crds@1.8.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/linkerd/linkerd-crds/1.8.0
longhorn/longhorn@1.11.2,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/longhorn/longhorn/1.11.2
longhorn/longhorn@1.12.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/longhorn/longhorn/1.12.0
metallb/metallb@0.16.1,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/metallb/metallb/0.16.1
metrics-server/metrics-server@3.13.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/metrics-server/metrics-server/3.13.0
metrics-server/metrics-server@3.13.1,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/metrics-server/metrics-server/3.13.1
minio-operator/operator@7.1.1,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/minio-operator/operator/7.1.1
minio-operator/tenant@7.1.1,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/minio-operator/tenant/7.1.1
nats/nack@0.34.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/nats/nack/0.34.0
nats/nats@2.14.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/nats/nats/2.14.0
nats/surveyor@0.20.9,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/nats/surveyor/0.20.9
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner@4.0.18,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18
oauth2-proxy/oauth2-proxy@10.7.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/oauth2-proxy/oauth2-proxy/10.7.0
open-telemetry/opentelemetry-operator@0.114.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/open-telemetry/opentelemetry-operator/0.114.0
opencost/opencost@2.5.21,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/opencost/opencost/2.5.21
percona/pg-operator@3.0.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/percona/pg-operator/3.0.0
percona/psmdb-operator@1.22.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/percona/psmdb-operator/1.22.0
percona/pxc-operator@1.19.1,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/percona/pxc-operator/1.19.1
policy-reporter/policy-reporter@3.9.1,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/policy-reporter/policy-reporter/3.9.1
projectcalico/tigera-operator@v3.32.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/projectcalico/tigera-operator/v3.32.0
prometheus-community/alertmanager@1.37.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/prometheus-community/alertmanager/1.37.0
prometheus-community/kube-prometheus-stack@85.3.3,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/prometheus-community/kube-prometheus-stack/85.3.3
prometheus-community/kube-prometheus-stack@86.1.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/prometheus-community/kube-prometheus-stack/86.1.0
prometheus-community/kube-prometheus-stack@87.15.1,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,catalog-candidate,not-reviewed-for-production,none,recipes/prometheus-community/kube-prometheus-stack/87.15.1
prometheus-community/kube-prometheus-stack@87.19.2,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,catalog-candidate,not-reviewed-for-production,none,recipes/prometheus-community/kube-prometheus-stack/87.19.2
prometheus-community/kube-state-metrics@7.4.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/prometheus-community/kube-state-metrics/7.4.0
prometheus-community/prometheus-adapter@5.3.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,proof-grade,not-reviewed-for-production,none,recipes/prometheus-community/prometheus-adapter/5.3.0
prometheus-community/prometheus-blackbox-exporter@11.10.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0
prometheus-community/prometheus-blackbox-exporter@11.15.1,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/prometheus-community/prometheus-blackbox-exporter/11.15.1
prometheus-community/prometheus-node-exporter@4.55.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/prometheus-community/prometheus-node-exporter/4.55.0
prometheus-community/prometheus-operator-crds@29.0.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/prometheus-community/prometheus-operator-crds/29.0.0
prometheus-community/prometheus-pushgateway@3.6.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/prometheus-community/prometheus-pushgateway/3.6.0
prometheus-community/prometheus@29.8.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/prometheus-community/prometheus/29.8.0
prometheus-community/prometheus@29.9.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/prometheus-community/prometheus/29.9.0
rook-release/rook-ceph-cluster@v1.19.5,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/rook-release/rook-ceph-cluster/v1.19.5
rook-release/rook-ceph@v1.19.5,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/rook-release/rook-ceph/v1.19.5
runix/pgadmin4@1.62.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/runix/pgadmin4/1.62.0
sealed-secrets/sealed-secrets@2.18.6,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/sealed-secrets/sealed-secrets/2.18.6
secrets-store-csi-driver/secrets-store-csi-driver@1.6.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0
stakater/reloader@2.2.12,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/stakater/reloader/2.2.12
stakater/reloader@2.2.14,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/stakater/reloader/2.2.14
strimzi/strimzi-kafka-operator@1.0.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/strimzi/strimzi-kafka-operator/1.0.0
traefik/traefik@40.2.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/traefik/traefik/40.2.0
traefik/traefik@41.0.2,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/traefik/traefik/41.0.2
velero/velero@12.0.1,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/velero/velero/12.0.1
velero/velero@12.1.0,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/velero/velero/12.1.0
vm/victoria-logs-single@0.12.5,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/vm/victoria-logs-single/0.12.5
vm/victoria-metrics-single@0.39.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/vm/victoria-metrics-single/0.39.0
